State    wMAROut	wPCOut		wNPCOut		CNVZ	wALUOut		wMDROut		BCOND     	Time
  0             0	   xxxxxxxx	xxxxxxxx	xxxx	xxxxxxxx	00000082	x	                   0
  1            57	   00000000	00000004	xxxx	xxxxxxxx	00000000	x	                  61
  2             0	   00000000	00000004	xxxx	00000000	00000000	x	                  63
  3             0	   00000004	00000004	xxxx	00000000	00000000	x	                  65
  4             0	   00000004	00000008	xxxx	00000000	00000000	x	                  67
 11             0	   00000004	00000008	xxxx	xxxxxxxx	00000000	0	                  69
  1             0	   00000004	00000008	xxxx	0000002c	00000000	0	                  71
  2             4	   00000004	00000008	xxxx	00000004	00000000	0	                  73
  3             4	   00000008	00000008	xxxx	xxxxxxxx	00000000	0	                  75
  4             4	   00000008	0000000c	xxxx	xxxxxxxx	00000000	0	                  77
 20             4	   00000008	0000000c	xxxx	00000000	00000000	0	                  79
 21            44	   00000008	0000000c	xxxx	0000002c	00000000	0	                  81
 22            44	   00000008	0000000c	xxxx	00000000	00000000	0	                  83
 23            44	   00000008	0000000c	xxxx	00000000	00000019	0	                  85
  1            44	   00000008	0000000c	xxxx	00000019	00000019	0	                  87
  2             8	   00000008	0000000c	xxxx	00000008	00000019	0	                  89
  3             8	   0000000c	0000000c	xxxx	00000000	00000019	0	                  91
  4             8	   0000000c	00000010	xxxx	00000000	00000019	0	                  93
 30             8	   0000000c	00000010	xxxx	00000008	00000019	0	                  95
 21            46	   0000000c	00000010	xxxx	0000002e	00000019	0	                  97
 22            46	   0000000c	00000010	xxxx	00000008	00000019	0	                  99
 23            46	   0000000c	00000010	xxxx	00000008	00000007	0	                 101
  1            46	   0000000c	00000010	xxxx	00000007	00000007	0	                 103
  2            12	   0000000c	00000010	xxxx	0000000c	00000007	0	                 105
  3            12	   00000010	00000010	xxxx	00000008	00000007	0	                 107
  4            12	   00000010	00000014	xxxx	00000008	00000007	0	                 109
 10            12	   00000010	00000014	xxxx	00000000	00000007	0	                 111
  1            12	   00000010	00000014	xxxx	00000000	00000007	0	                 113
  2            16	   00000010	00000014	xxxx	00000010	00000007	0	                 115
  3            16	   00000014	00000014	xxxx	00000000	00000007	0	                 117
  4            16	   00000014	00000018	xxxx	00000000	00000007	0	                 119
 10            16	   00000014	00000018	xxxx	00000019	00000007	0	                 121
  1            16	   00000014	00000018	xxxx	00000019	00000007	0	                 123
  2            20	   00000014	00000018	xxxx	00000014	00000007	0	                 125
  3            20	   00000018	00000018	xxxx	00000032	00000007	0	                 127
  4            20	   00000018	0000001c	xxxx	00000032	00000007	0	                 129
 13            20	   00000018	0000001c	xxxx	ffffffdb	00000007	0	                 131
  1            20	   00000018	0000001c	0000	00000006	00000007	0	                 133
  2            24	   00000018	0000001c	0000	00000018	00000007	0	                 135
  3            24	   0000001c	0000001c	0000	ffffffda	00000007	0	                 137
  4            24	   0000001c	00000020	0000	ffffffda	00000007	0	                 139
 49            24	   0000001c	00000020	0000	xxxxxxxx	00000007	1	                 141
 50            28	   0000001c	00000020	0000	0000001c	00000007	1	                 143
  2            28	   0000001c	00000010	0000	xxxxxxxx	00000007	1	                 145
  3            28	   00000010	00000010	0000	xxxxxxxx	00000007	1	                 147
  4            28	   00000010	00000014	0000	xxxxxxxx	00000007	1	                 149
 10            28	   00000010	00000014	0000	00000000	00000007	0	                 151
  1            28	   00000010	00000014	0000	00000000	00000007	0	                 153
  2            16	   00000010	00000014	0000	00000010	00000007	0	                 155
  3            16	   00000014	00000014	0000	00000000	00000007	0	                 157
  4            16	   00000014	00000018	0000	00000000	00000007	0	                 159
 10            16	   00000014	00000018	0000	00000032	00000007	0	                 161
  1            16	   00000014	00000018	0000	00000032	00000007	0	                 163
  2            20	   00000014	00000018	0000	00000014	00000007	0	                 165
  3            20	   00000018	00000018	0000	0000004b	00000007	0	                 167
  4            20	   00000018	0000001c	0000	0000004b	00000007	0	                 169
 13            20	   00000018	0000001c	0000	ffffffda	00000007	0	                 171
  1            20	   00000018	0000001c	0000	00000005	00000007	0	                 173
  2            24	   00000018	0000001c	0000	00000018	00000007	0	                 175
  3            24	   0000001c	0000001c	0000	ffffffd9	00000007	0	                 177
